arm,seed,split,metric,value,n_instances,n_images,ci_low,ci_high,notes
real_only,1337,test/small_object,ap_small.helmet,0.432640648206822,1449,441,,,
real_only,1337,test/small_object,ap_small.head,0.48471516480847493,608,441,,,
real_only,1337,test/small_object,ap_small.person,0.0006691300904076099,22,441,,,
real_only,1337,test/small_object,primary_map,0.5234007768009138,2913,441,,,
real_only,1337,test/small_object,primary_map_small,0.4586779065076485,2057,441,,,
real_only,1337,test/small_object,instances.all,2992.0,2992,441,,,
real_only,1337,test/small_object,instances.small,2079.0,2079,441,,,
real_only,1337,test/small_object,instances.medium,891.0,891,441,,,
real_only,1337,test/small_object,instances.large,25.0,25,441,,,
real_only,1337,test/small_object,bare_head_recall,0.9869668246445498,844,441,,,iou=0.5
real_only,1337,test/small_object,n_detections,132300.0,,441,,,
standard_aug,1337,test,map,0.33564387164106907,3817,744,,,
standard_aug,1337,test,map_50,0.5460157234156904,3817,744,,,
standard_aug,1337,test,map_75,0.3698116159798411,3817,744,,,
standard_aug,1337,test,map_small,0.28350821732353837,2079,744,,,
standard_aug,1337,test,map_medium,0.4229034946817044,1583,744,,,
standard_aug,1337,test,map_large,0.4204515838912645,158,744,,,
standard_aug,1337,test,mar_1,0.1262890184273494,3817,744,,,
standard_aug,1337,test,mar_10,0.5013726512764237,3817,744,,,
standard_aug,1337,test,mar_100,0.6368734785103747,3817,744,,,
standard_aug,1337,test,mar_small,0.479710175884375,2079,744,,,
standard_aug,1337,test,mar_medium,0.6925764003262592,1583,744,,,
standard_aug,1337,test,mar_large,0.8040721723006704,158,744,,,
standard_aug,1337,test,ap.helmet,0.5006993827929042,2825,744,,,
standard_aug,1337,test,ap.head,0.49099022497954004,879,744,,,
standard_aug,1337,test,ap.person,0.01524200715076283,113,744,,,
standard_aug,1337,test,ap_small.helmet,0.4065005312228883,1449,744,,,
standard_aug,1337,test,ap_small.head,0.4406513390124962,608,744,,,
standard_aug,1337,test,ap_small.person,0.0033727817352304274,22,744,,,
standard_aug,1337,test,primary_map,0.4958448038862221,3704,744,,,
standard_aug,1337,test,primary_map_small,0.42357593511769226,2057,744,,,
standard_aug,1337,test,instances.all,3817.0,3817,744,,,
standard_aug,1337,test,instances.small,2079.0,2079,744,,,
standard_aug,1337,test,instances.medium,1583.0,1583,744,,,
standard_aug,1337,test,instances.large,158.0,158,744,,,
standard_aug,1337,test,bare_head_recall,0.987485779294653,879,744,,,iou=0.5
standard_aug,1337,test,n_detections,223200.0,,744,,,
standard_aug,1337,test,real_image_exposures,49.83,,744,,,TRAIN-07 equal-step budget: times each real training image was seen. Not a Test-set quantity
standard_aug,1337,test,total_steps,10900.0,,744,,,"optimizer steps, from run_record.json"
standard_aug,1337,test/crowded,map,0.3388735476806247,1872,152,,,
standard_aug,1337,test/crowded,map_50,0.5629626906620853,1872,152,,,
standard_aug,1337,test/crowded,map_75,0.3610324823551059,1872,152,,,
standard_aug,1337,test/crowded,map_small,0.29127860111146325,1316,152,,,
standard_aug,1337,test/crowded,map_medium,0.4729555006579694,544,152,,,
standard_aug,1337,test/crowded,map_large,0.39130604308505385,15,152,,,
standard_aug,1337,test/crowded,mar_1,0.05795274132728666,1872,152,,,
standard_aug,1337,test/crowded,mar_10,0.37975408466051264,1872,152,,,
standard_aug,1337,test/crowded,mar_100,0.5616687946838909,1872,152,,,
standard_aug,1337,test/crowded,mar_small,0.47415278350784384,1316,152,,,
standard_aug,1337,test/crowded,mar_medium,0.703384777792646,544,152,,,
standard_aug,1337,test/crowded,mar_large,0.7533333333333333,15,152,,,
standard_aug,1337,test/crowded,ap.helmet,0.48547727445932587,1175,152,,,
standard_aug,1337,test/crowded,ap.head,0.49982031686240824,661,152,,,
standard_aug,1337,test/crowded,ap.person,0.03132305172014006,36,152,,,
standard_aug,1337,test/crowded,ap_small.helmet,0.4137582977080686,793,152,,,
standard_aug,1337,test/crowded,ap_small.head,0.4536045746724043,501,152,,,
standard_aug,1337,test/crowded,ap_small.person,0.006472930953916937,22,152,,,
standard_aug,1337,test/crowded,primary_map,0.49264879566086706,1836,152,,,
standard_aug,1337,test/crowded,primary_map_small,0.43368143619023647,1294,152,,,
standard_aug,1337,test/crowded,instances.all,1872.0,1872,152,,,
standard_aug,1337,test/crowded,instances.small,1316.0,1316,152,,,
standard_aug,1337,test/crowded,instances.medium,544.0,544,152,,,
standard_aug,1337,test/crowded,instances.large,15.0,15,152,,,
standard_aug,1337,test/crowded,bare_head_recall,0.983358547655068,661,152,,,iou=0.5
standard_aug,1337,test/crowded,n_detections,45600.0,,152,,,
standard_aug,1337,test/low_light,map,0.3343862765694333,856,186,,,
standard_aug,1337,test/low_light,map_50,0.5470111169749745,856,186,,,
standard_aug,1337,test/low_light,map_75,0.3707958866322357,856,186,,,
standard_aug,1337,test/low_light,map_small,0.43182734818845603,445,186,,,
standard_aug,1337,test/low_light,map_medium,0.39843108746334355,377,186,,,
standard_aug,1337,test/low_light,map_large,0.4804230364727091,34,186,,,
standard_aug,1337,test/low_light,mar_1,0.14876416224794395,856,186,,,
standard_aug,1337,test/low_light,mar_10,0.5133327300475904,856,186,,,
standard_aug,1337,test/low_light,mar_100,0.6579245957294736,856,186,,,
standard_aug,1337,test/low_light,mar_small,0.6045381561277515,445,186,,,
standard_aug,1337,test/low_light,mar_medium,0.6465969215969215,377,186,,,
standard_aug,1337,test/low_light,mar_large,0.8073333333333333,34,186,,,
standard_aug,1337,test/low_light,ap.helmet,0.48672053080810823,679,186,,,
standard_aug,1337,test/low_light,ap.head,0.5128551375025749,164,186,,,
standard_aug,1337,test/low_light,ap.person,0.0035831613976168115,13,186,,,
standard_aug,1337,test/low_light,ap_small.helmet,0.4139528404463333,346,186,,,
standard_aug,1337,test/low_light,ap_small.head,0.44970185593057876,99,186,,,
standard_aug,1337,test/low_light,ap_small.person,-1.0,0,186,,,
standard_aug,1337,test/low_light,primary_map,0.49978783415534156,843,186,,,
standard_aug,1337,test/low_light,primary_map_small,0.43182734818845603,445,186,,,
standard_aug,1337,test/low_light,instances.all,856.0,856,186,,,
standard_aug,1337,test/low_light,instances.small,445.0,445,186,,,
